row	obs_hash	next_obs_hash	action	extrinsic	shaped	confidence	terminal	commit	obs_atoms	next_obs_atoms
3798	4896145274376737746	10403527788926771194	0	-0.020000	-0.037271	0.204618	0	0	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,49,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,50,59,65,91,51,256,48,44,49,50,56,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3799	10403527788926771194	13261086479393072982	1	0.010000	-0.011707	0.205697	0	0	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,50,59,65,91,51,256,48,44,49,50,56,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,51,44,49,52,49,44,49,49,53,44,48,44,49,50,56,44,51,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3800	13261086479393072982	5829468568367584922	0	-0.020000	-0.062408	0.204560	0	0	87,91,54,256,45,49,51,44,49,52,49,44,49,49,53,44,48,44,49,50,56,44,51,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,51,44,49,52,49,44,49,49,53,44,48,44,49,50,56,44,52,59,65,91,51,256,48,44,49,50,56,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3801	5829468568367584922	11629818524653867980	1	0.010000	-0.007051	0.205718	0	0	87,91,54,256,45,49,51,44,49,52,49,44,49,49,53,44,48,44,49,50,56,44,52,59,65,91,51,256,48,44,49,50,56,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,57,44,49,52,55,44,49,48,57,44,48,44,48,44,53,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3802	11629818524653867980	14134359010212738178	3	0.020000	0.022988	0.203008	0	0	87,91,54,256,45,49,57,44,49,52,55,44,49,48,57,44,48,44,48,44,53,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,51,50,44,49,54,48,44,57,54,44,48,44,48,44,54,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3803	14134359010212738178	16040512639820125569	3	0.020000	0.035183	0.202071	0	0	87,91,54,256,45,51,50,44,49,54,48,44,57,54,44,48,44,48,44,54,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,52,53,44,49,55,51,44,56,51,44,48,44,48,44,55,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3804	16040512639820125569	13221773309285304815	3	0.020000	-0.002576	0.202205	0	0	87,91,54,256,45,52,53,44,49,55,51,44,56,51,44,48,44,48,44,55,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,53,56,44,49,56,54,44,55,48,44,48,44,48,44,57,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3805	13221773309285304815	5119107247010580598	3	0.020000	-0.053065	0.202249	0	0	87,91,54,256,45,53,56,44,49,56,54,44,55,48,44,48,44,48,44,57,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,55,48,44,49,57,56,44,53,56,44,48,44,48,44,49,259,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3806	5119107247010580598	3835915923226974383	3	0.020000	-0.039909	0.202375	0	0	87,91,54,256,45,55,48,44,49,57,56,44,53,56,44,48,44,48,44,49,259,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,56,51,44,50,49,49,44,52,53,44,48,44,48,44,49,49,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3807	3835915923226974383	18053474040226543522	3	0.020000	-0.089749	0.203162	0	0	87,91,54,256,45,56,51,44,50,49,49,44,52,53,44,48,44,48,44,49,49,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,57,54,44,50,50,52,44,51,50,44,48,44,48,44,49,50,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
